DESCRIÇÃO;UNIDADE
"ELETRODUTO GALVANIZADO LEVE 3/4"" (BARRA 3m)";METRO
"ABRAÇADEIRA 3/4"" COM CUNHA";PEÇA
"CONDULETE MÚLTIPLO X 3/4""";PEÇA
"CURVA 90º ELETRODUTO 3/4""";PEÇA
"ELETRODUTO GALVANIZADO LEVE 1"" (BARRA 3m)";METRO
"ABRAÇADEIRA 1"" COM CUNHA";PEÇA
"CONDULETE MÚLTIPLO X 1""";PEÇA
"CURVA 90º ELETRODUTO 1""";PEÇA
"ELETRODUTO GALVANIZADO LEVE 2"" (BARRA 3m)";METRO
"ABRAÇADEIRA 2"" COM CUNHA";PEÇA
"CONDULETE MÚLTIPLO X 2""";PEÇA
"CURVA 90º ELETRODUTO 2""";PEÇA
BUCHA FISCHER SX 8MM;PEÇA
PARAFUSO PHILLIPS PANELA;PEÇA
BUCHA FLY 8MM;PEÇA
PARAFUSO AUTOBROCANTE 5/16;PEÇA
"DUTO CORRUGADO PEAD 3/4""";METRO
"DUTO CORRUGADO PEAD 1""";METRO
"DUTO CORRUGADO PEAD 2""";METRO
CAIXA DE PASSAGEM CONCRETO 50X50;PEÇA
TAMPA PARA CAIXA DE INSPEÇÃO COM ALÇA;PEÇA
ELETROCALHA 100X50 (BARRA 3m);METRO
EMENDA INTERNA U 100X50;PEÇA
PERFILADO 38X38 (BARRA 6m);METRO
EMENDA INTERNA PERFILADO 38X38;PEÇA
MÃO FRANCESA DE PERFILADO 30 CM;PEÇA
SUPORTE SUSPENSO POR CABO DE AÇO;PEÇA
CABO DE AÇO 1/8;METRO
PRENSA CABO DE ALUMINIO 1/8;PEÇA
SUPORTE BALANÇO (IGREJINHA);PEÇA
GRAMPO C COM BALANCIM;PEÇA
CHUMBADOR CBA 3/8;PEÇA
BARRA ROSCADA ZINCADA 3/8 X 3000;PEÇA
PORCA SEXTAVADA 3/8;PEÇA
ARRUELA LISA 3/8;PEÇA
PARAFUSO (LENTILHA) 1/4 x 3/4;PEÇA
PORCA SEXTAVADA 1/4;PEÇA
ARRUELA LISA 1/4;PEÇA
